Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
chasing terrorists	admire, respect, look_up_to, support, believe_in	arrest, apprehend, trap, outsmart, track, track down	clues, forensics, law, law and order, counter-terrorism, counterterrorism	terrorism, terrorists, terror, fundamentalism, radical Islam, intolerance, zero tolerance, atrocities	counter-terrorist, counterterrorist	dogged, determined	fight_with	kill_for, die_for, watch_over	are_investigated_by, lead_astray, are_corrupted_by, grow_suspicious_of
chasing virgins	condemn, denounce, criticize	woo, seduce, enthrall, entice, deflower, sleep with	virgins, virginity, sex, seduction,  deflowering	celibacy	letcher, letch, lecher, womaniser, womanizer, lady's man, lounge lizard, ladykiller, lady killer	libidinous, lecherous	are_facilitated_by, facilitate	share_stories_with	lead_astray, are_corrupted_by, compete_against
chasing women	criticize, chastise, laugh_at, joke_about, satirize	woo, seduce, enthrall, sleep with, entice	women, sex, seduction, flirtation	celibacy	letcher, letch, lecher, womaniser, womanizer, lady's man, lounge lizard, ladykiller, lady killer	libidinous, lecherous	are_facilitated_by, facilitate	share_stories_with, confess_to	lead_astray, are_corrupted_by, compete_against
cheating at golf	criticize, satirize, joke_about, dislike, distrust, laugh_at	cheat, win, connive, win at golf	cheating, winning, golf, dirty pool	fairness, rules	golf cheat, golfer	dishonest, cheating, competitive	cheat_with	collude_with, confess_to	cheat, are_uncovered_by, are_reported_by
cheating at poker	criticize, satirize, joke_about, dislike, distrust, laugh_at	cheat, win, connive, win at cards	cheating, winning, poker, dirty pool, double dealing, queering the deck	fairness, rules	poker player, poker cheat, card player, cards player, gambler	dishonest, cheating, phony	cheat_with	collude_with, confess_to	cheat, are_uncovered_by, are_reported_by, 
cheating clients	dislike, distrust, criticize, condemn, denounce, brief_against	embezzle, make money, get rich, defraud,	greed, embezzlement, fraud, Ponzi schemes, pyramid schemes, malfeasance	honour, honor, fairness, professionalism	con man, conman, confidence trickster, swindler, scammer, scamster	dishonest, deceptive, cheating, crooked, fraudulent	cheat_with	collude_with, confess_to	cheat, are_uncovered_by, are_reported_by
cleaning floors	condescend_to	clean, polish, sweep	cleanliness, shine, clean floors, floor polish, floor polishers, floor wax	dirty footprints, dirt, dust bunnies	cleaner, janitor, drudge, floor cleaner, sweeper	menial, lowly, grubby	work_with		
climbing down chimneys	joke_about, 	enter, burgle, break into, sneak into, climb into, climb, climb down, slide down	chimneys rooftops, roof tops	soot	chimney sweep	agile	travel_with		leave_behind
climbing social ladders	resent, dislike, disrespect, 	ascend, climb, elevate, rise, advance, get noticed	high society, cocktail parties, dinner parties, social ladders, social climbing, social connections	poverty, homelessness	Icarus, Ikarus, social climber	ambitious, social-climbing	are_marketed_by, are_popularized_by	propagandize_for, shill_for	spread_lies_about
clinging to past dreams	pity, sympathize_with, laugh_at, joke_about	remember, relive, go back, rewind	nostalgia, dreams, memory lane, old dreams, past glories, recurring dreams, optimism	reality, harsh reality, disappointment	dreamer, pipe dreamer, optimist	nostalgic, dreaming, tenacious, stubborn	share_stories_with	are_motivated_by, are_roused_by	are_pitied_by, pity
clipping coupons	sympathize_with, pity	save, save money	saving, savings, coupons, thrift, bargains, bargain hunting, bargain bins, discount stores, rebates	extravagance, lavishness, big spenders, full price	shopper, saver	thrifty, frugal	borrow_from, lend_to		
coasting on past glories	pity, laugh_at, joke_about	remember, relive, go back, rewind	nostalgia, reputation, faded glory, past glories	present reality	has been, has been, spent force	over the hill,  nostalgic, spent	are_disillusioned_by, disillusion	are_bored_by	are_pitied_by, pity
coining epigrams	admire, respect, praise, compliment	be witty, impress, coin, flirt, charm	wit, eloquence, epigrams, bon mots, mot juste, witticisms, quips	literality, plain language, plain speaking	wit, humorist, wag	witty, poetic, urbane	compete_with	entertain, are_entertained_by, laugh_at	compete_against, tune_out, heckle, taunt, are_taunted_by, are_copied_by, are_imitated_by
coining sententious maxims	tune_out, ignore, 	instruct, advise, counsel, guide	maxims, fortune cookies, platitudes, profundity	literality, plain language, plain speaking, wit	philosopher, preacher, windbag, wind bag	pompous, sententious, earnest	preach_to, lecture_to	are_bored_by, tune_out	are_ignored_by, are_copied_by, are_imitated_by
coining sparkling witticisms	admire, respect, praise, compliment	be witty, impress, coin, flirt, charm	wit, eloquence, epigrams, bon mots, mot juste, witticisms, quips, irony	literality, plain language, plain speaking	wit, humorist, wag	witty, poetic, urbane	compete_with, charm, are_charmed_by	entertain, are_entertained_by, laugh_at	compete_against, tune_out, heckle, taunt, are_taunted_by, are_copied_by, are_imitated_by
collecting alimony	disrespect	profit from, exploit, 	alimony, divorce, divorce lawyers	marriage, prenups, prenuptuial agreements, pre-nups	ex, ex wife, ball and chain	greedy, exploitative, shrewd	lend_to, borrow_from		take_advantage_of, exploit, are_exploited_by
collecting bounties on runaways	harden_toward	profit from, exploit, hunt, hunt down, track, track down	bounties, runaways, bounty hunting, fugitives, bail money		bounty hunter, bountyhunter	relentless, dogged, opportunistic	compete_with		compete_against
collecting Captain America trading cards	laugh_at, condescend_to	collect, trade	Captain America, trading cards, collectibles, collecting, mint condition		nerd, comic fan, fanboy, fan boy	nerdy, geeky, avid, dedicated	sell_to, buy_from	negotiate_with, deal_with	steal_from
collecting comic books	laugh_at, condescend_to	collect, trade	collecting, comic books, Captain America, Superman, Marvel comics, DC Comics, Marvel Universe, DC Universe, nerds, geeks, comic con, back issues, superheroes, mint condition, mylar bags, backing boards		nerd, comic fan, fanboy, fan boy	nerdy, geeky	sell_to, buy_from, compete_with	negotiate_with, deal_with	steal_from
collecting fossils		collect, unearth, find, uncover, dig up, locate	fossils, paleontology, palaeontology, dinosaurs, natural history, dinosaur bones	Piltdown man	paleontologist, palaeontologist, bone collector, fossil hunter, fossil collector	organised, organized, dull	compete_with		compete_against
collecting pirate booty	admire, 	collect, profit from, earn, share in, locate	booty, gold, treasure, piracy, free enterprise, treasure maps, treasure hunting, buried treasure, pieces of eight		pirate, privateer, corsair, treasure hunter, buccaneer, outlaw, renegade	piratical, anarchic, 	fight_with	follow	distrust, are_distrusted_by, steal_from
collecting shoes	laugh_at	collect, accumulate	shoes, footwear, stilettos, high heels, highheels		shoe collector	shallow, vapid	lend_to, borrow_from	dress, style_for	steal_from
collecting stamps	laugh_at	collect, accumulate, , categorise, categorize	stamps, collecting, philately, stamp collecting, stamp albums, postage stamps		philatelist, stamp collector	boring, organised, organized, dull	sell_to, buy_from	negotiate_with, deal_with	steal_from
collecting treasures	admire, 	collect, unearth, find, uncover, dig up, accumulate	treasure, gold, treasure maps, treasure hunting, buried treasure, metal detectors, pirate maps, treasure hunts	fool's gold	treasure hunter	driven, probing, acquisitive	are_guided_by		distrust, are_distrusted_by, steal_from, spy_on
commanding a pirate ship	admire, look_up_to	command, lead, direct, sail,  take over, make decisions, take decisions, take command	booty, gold, treasure, piracy, free enterprise, treasure maps, treasure hunting, buried treasure, pirate maps, pieces of eight		pirate captain, pirate, captain, corsair, buccaneer	commanding, controlling, in control, in charge	fight_with	travel_with	are_abandoned_by, abandon, are_ejected_by, eject, argue_with, disagree_with
commanding a spaceship	admire, look_up_to	command, lead, fly, pilot, navigate, take command	space travel, space exploration, rockets, rocketry, spacecraft		astronaut, cosmonaut, spaceman, space man	commanding, controlling, in control, in charge	are_driven_around_by, drive_for	travel_with	are_ejected_by, eject
going for a spacewalk		walk, float, fly, walk out, ramble	space travel, space exploration, space walks, spacesuits, space suits		astronaut, cosmonaut, spaceman, space man	adventurous, intrepid	travel_with	travel_with	are_abandoned_by, abandon
commanding Roman legions	respect, admire	command, lead, make decisions, strategize, outflank, out flank, take decisions, take command	power, militarism, conquest, PAX Romana, legionnaires, centurions	barbarians, barbarian hordes	legionnaire, centurion, roman commander, roman general	commanding, controlling, masterful	fight_with, are_inspired_by	deploy, are_deployed_by	argue_with, disagree_with, are_overshadowed_by, tower_over
making strategic decisions	admire, study	decide, ensure, plot, make sure, arrange, take decisions, take command, make decisions, plan ahead, think ahead, plan	strategy, preparedness, wisdom, insight, planning, tactics, decisions, planning,  risk assessment, decision making	fog of war	strategist, tactician, planner	tactical, stategic, masterful	debate_with, consult_with	seek_advice_from	are_ignored_by, lead_astray
commenting on social issues	listen_to, agree_with	highlight, shed light on, comment	social issues, punditry, cable news, social commentary, social problems, social activism		social commentator, pundit, talking head	socially-conscious, opinionated	agree_with, advocate_for, campaign_for, vote_for	debate_with	run_against, disagree_with
competing in the Olympics	admire, support	compete, win gold, race, compete in, compete with	athletics, competition, the Olympics, winning, gold medals, silver medals, medallists, bronze medals	disqualification	Olympian, athlete, sportsman	competitive, athletic, agile	compete_with	defeat, are_defeated_by	compete_against, are_overshadowed_by, tower_over
competing in athletic events	admire, respect, look_up_to	compete, win gold, race, compete in, compete with	athletics, competition, the Olympics, winning, gold medals, gold medals, silver medals, medallists, bronze medals	disqualification	Olympian, athlete, sportsman	competitive, athletic, agile	compete_with	defeat, are_defeated_by	compete_against, upstage, are_upstaged_by, are_overshadowed_by, tower_over
spitting while speaking	dislike, laugh_at	spit, salivate, drool, spray	spittle, spit, saliva, drool, 	manners, politeness	pig, hog, warthog, dribbler, spitter	uncouth, unsophisticated	laugh_at, mock, are_mocked_by		disgust, are_disgusted_by
complaining about big brother	disagree_with, agree_with	complain, speak out, complain to	freedom of speech, freedom, freedom of movement, freedom of expression, democracy	big brother, deep state, autocracy, tyranny, totalitarianism, CCTV cameras, doublethink, groupthink	privacy advocate, libertarian, anti-totalitarian, anti-authoritarian, antitotalitarian, antiauthoritarian	anti-totalitarian, anti-authoritarian, antitotalitarian, antiauthoritarian	agree_with, advocate_for, campaign_for, vote_for	debate_with	run_against, disagree_with, are_reported_by, snitch_on
